"date","covid_cases_7day","copies_day_person_M_mn","copies_day_person_M_se","mutation","variant","frequency","frequency_gapfill","frequency_7day"
2020-03-19,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,0.692557972917705,NA,NA,NA,NA,NA,NA,NA
2020-03-26,0.725033428572516,NA,NA,NA,NA,NA,NA,NA
2020-03-27,0.76581655892972,NA,NA,NA,NA,NA,NA,NA
2020-03-28,0.865508655358441,NA,NA,NA,NA,NA,NA,NA
2020-03-29,0.951606375001427,NA,NA,NA,NA,NA,NA,NA
2020-03-30,0.910823244644223,NA,NA,NA,NA,NA,NA,NA
2020-03-31,0.947074916072849,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1.03770409464441,NA,NA,NA,NA,NA,NA,NA
2020-04-02,1.03317263571584,NA,NA,NA,NA,NA,NA,NA
2020-04-03,1.01051534107294,NA,NA,NA,NA,NA,NA,NA
2020-04-04,0.987858046430053,NA,NA,NA,NA,NA,NA,NA
2020-04-05,1.01504680000152,NA,NA,NA,NA,NA,NA,NA
2020-04-06,0.956137833930006,NA,NA,NA,NA,NA,NA,NA
2020-04-07,1.03770409464441,NA,NA,NA,NA,NA,NA,NA
2020-04-08,1.14192765000171,NA,NA,NA,NA,NA,NA,NA
2020-04-09,1.26427704107332,NA,NA,NA,NA,NA,NA,NA
2020-04-10,1.35339573333536,NA,NA,NA,NA,NA,NA,NA
2020-04-11,1.85563243125278,NA,NA,NA,NA,NA,NA,NA
2020-04-12,2.34200902292018,NA,NA,NA,NA,NA,NA,NA
2020-04-13,2.61374551000392,NA,NA,NA,NA,NA,NA,NA
2020-04-14,2.63277763750395,NA,NA,NA,NA,NA,NA,NA
2020-04-15,2.80406678500421,NA,NA,NA,NA,NA,NA,NA
2020-04-16,2.92460359250439,NA,NA,NA,NA,NA,NA,NA
2020-04-17,3.05042710208791,NA,NA,NA,NA,NA,NA,NA
2020-04-18,2.87596593333765,NA,NA,NA,NA,NA,NA,NA
2020-04-19,2.52175689375378,NA,NA,NA,NA,NA,NA,NA
2020-04-20,2.48777095178945,NA,NA,NA,NA,NA,NA,NA
2020-04-21,2.35635864286068,NA,NA,NA,NA,NA,NA,NA
2020-04-22,2.06634527143167,NA,NA,NA,NA,NA,NA,NA
2020-04-23,1.93040150357432,NA,NA,NA,NA,NA,NA,NA
2020-04-24,1.56788478928807,NA,NA,NA,NA,NA,NA,NA
2020-04-25,1.31412308928769,NA,NA,NA,NA,NA,NA,NA
2020-04-26,1.18271078035892,NA,NA,NA,NA,NA,NA,NA
2020-04-27,0.978795128572897,NA,NA,NA,NA,NA,NA,NA
2020-04-28,1.14645910893029,NA,NA,NA,NA,NA,NA,NA
2020-04-29,4.20066242679202,NA,NA,NA,NA,NA,NA,NA
2020-04-30,4.83053521786439,NA,NA,NA,NA,NA,NA,NA
2020-05-01,5.36524737143662,NA,NA,NA,NA,NA,NA,NA
2020-05-02,6.42107730179535,NA,NA,NA,NA,NA,NA,NA
2020-05-03,7.40440388929682,NA,NA,NA,NA,NA,NA,NA
2020-05-04,8.33335296965536,NA,NA,NA,NA,NA,NA,NA
2020-05-05,9.76982545001465,NA,NA,NA,NA,NA,NA,NA
2020-05-06,8.68680676608446,NA,NA,NA,NA,NA,NA,NA
2020-05-07,9.49793791429996,NA,NA,NA,NA,NA,NA,NA
2020-05-08,10.689711612516,NA,NA,NA,NA,NA,NA,NA
2020-05-09,11.4056821232314,NA,NA,NA,NA,NA,NA,NA
2020-05-10,11.6413179875175,NA,NA,NA,NA,NA,NA,NA
2020-05-11,12.1714986821611,NA,NA,NA,NA,NA,NA,NA
2020-05-12,12.5657356089474,NA,NA,NA,NA,NA,NA,NA
2020-05-13,11.8044505089463,NA,NA,NA,NA,NA,NA,NA
2020-05-14,11.4691225482315,NA,NA,NA,NA,NA,NA,NA
