filename,date
Balogh_Project_001_100620_ddPCR_v2.xlsx,10/6/2020
Balogh_Project_001_101420_ddPCR.xlsx,10/14/2020
Balogh_Project_001_102120_ddPCR_V2.xlsx,10/21/2020
Balogh_Project_001_102820_ddPCR_v2.xlsx,10/28/2020
Balogh_Project_001_110420_ddPCR_v2.xlsx,11/4/2020
Balogh_Project_001_111120_ddPCR_V2.xlsx,11/11/2020
Balogh_Project_002_111820_ddPCR_v2.xlsx,11/18/2020
Balogh_Project_002_112320_ddPCR_v3.xlsx,11/23/2020
Balogh_Project_002_120220_ddPCR_v2.xlsx,12/2/2020
Balogh_Project_002_120920_ddPCR.xlsx,12/9/2020
Balogh_Project_002_121620_ddPCR.xlsx,12/16/2020
Balogh_Project_002_122120_ddPCR.xlsx,12/21/2020
Balogh_Project_002_122820_ddPCR.xlsx,12/28/2020
Balogh_Project_002_122820_ddPCR_v2.xlsx,12/28/2020
Balogh_Project_003_010621_ddPCR_v2.xlsx,1/6/2021
Balogh_Project_003_011321_ddPCR_v2.xlsx,1/13/2021
Balogh_Project_003_012721_ddPCR.xlsx,1/27/2021
Balogh_Project_003_020321_ddPCR.xlsx,2/3/2021
Balogh_Project_003_020321_ddPCR_v2.xlsx,2/3/2021
Balogh_Project_003_021021_ddPCR.xlsx,2/10/2021
Balogh_Project_003_021021_ddPCR_v2.xlsx,2/10/2021
Balogh_Project_003_021721_ddPCR.xlsx,2/17/2021
Balogh_Project_003_021721_ddPCR_v2.xlsx,2/17/2021
Balogh_Project_003_022421_ddPCR X.xlsx,2/24/2021
Balogh_Project_003_022421_ddPCR.xlsx,2/24/2021
Balogh_Project_003_030321_ddPCR.xlsx,3/3/2021
Balogh_Project_003_031221_ddPCR X with map.xlsx,3/12/2021
Balogh_Project_003_031221_ddPCR.xlsx,3/12/2021
Balogh_Project_003_031721_ddPCR.xlsx,3/17/2021
Balogh_Project_003_031721_ddPCR_v2.xlsx,3/17/2021
Balogh_Project_005_032421_ddPCR.xlsx,3/24/2021
Balogh_Project_005_033121_ddPCR.xlsx,3/31/2021
Balogh_Project_005_033121_ddPCR_v2.xlsx,3/31/2021
Balogh_Project_005_040721_ddPCR.xlsx,4/7/2021
Balogh_Project_005_041421_ddPCR.xlsx,4/14/2021
Balogh_Project_005_042121_ddPCR with LOD plots.xlsx,4/21/2021
Balogh_Project_005_042121_ddPCR.xlsx,4/21/2021
Balogh_Project_005_042821_ddPCR with LOD plots.xlsx,4/28/2021
Balogh_Project_005_042821_ddPCR.xlsx,4/28/2021
Balogh_Project_005_050521_ddPCR-1.xlsx,5/5/2021
Balogh_Project_005_050521_ddPCR_v2.xlsx,5/5/2021
Balogh_Project_005_051221_ddPCR_v2.xlsx,5/12/2021
Balogh_Project_007_051421_ddPCR Variants 1.xlsx,5/14/2021
Balogh_Project_005_20210519_N1_N2_ddPCR_v1.xlsx,5/19/2021
Balogh_Project_007_051921_Variant_ddPCR_v1.xlsx,5/19/2021
Balogh_Project_005_20210526_N1_N2_ddPCR_v1.xlsx,5/26/2021
Balogh_Project_005_20210602_N1_N2_ddPCR_v2 (002).xlsx,6/2/2021
Balogh_Project_007_060221_Variant_ddPCR_v2.xlsx,6/2/2021
Balogh_Project_005_20210609_N1_N2_ddPCR_v1.xlsx,6/9/2021
Balogh_Project_005_20210616_N1_N2_ddPCR.xlsx,6/16/2021
Balogh_Project_007_061621_Variant_ddPCR_v1.xlsx,6/16/2021
Balogh_Project_006_20210623_N1_N2_ddPCR.xlsx,6/23/2021
Balogh_Project_006_20210630_N1_N2_ddPCR.xlsx,6/30/2021
Balogh_Project_006_202107077_N1_N2_ddPCR.xlsx,7/7/2021
6-2021_07_14_Balogh_Project_006_WasteWater_Variant_ddPCR_6.xlsx,7/14/2021
Balogh_Project_006_20210714_N1_N2_ddPCR.xlsx,7/14/2021
6-2021_07_21_Balogh_Project_006_WasteWater_Variant_ddPCR_6_with_L452R.xlsx,7/21/2021
Balogh_Project_006_20210721_N1_N2_ddPCR.xlsx,7/21/2021
Balogh_Project_005_20210728_N1_N2_ddPCR.xlsx,7/28/2021
6-2021_08_03_Balogh_Project_006_ddPCR_Run_11.xlsx,8/3/2021
6-2021_08_11_Balogh_Project_006_ddPCR_Run_12.xlsx,8/11/2021
Balogh_Project_006_20210818_N1_N2_ddPCR.xlsx,8/18/2021
7-2021_08_25_Balogh_Project_007_WasteWater_Variant_ddPCR_9.xlsx,8/25/2021
Balogh_Project_006_20210825_N1_N2_ddPCR.xlsx,8/25/2021
Balogh_Project_006_20210901_N1_N2_ddPCR.xlsx,9/1/2021
7-2021_09_08_Balogh_Project_007_WasteWater_Variant_ddPCR.xlsx,9/8/2021
Balogh_Project_006_20210908_N1_N2_ddPCR.xlsx,9/8/2021
12-Balogh_Project_012_20210922_N1_N2_ddPCR.xlsx,9/22/2021
13-2021_09_22_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,9/22/2021
12-Balogh_Project_012_20210929_N1_N2_ddPCR.xlsx,9/29/2021
12-2021_10_13_Balogh_Project_012_WasteWater_N2N1_ddPCR.xlsx,10/13/2021
13-2021_10_20_Balogh_Project_013_WasteWater_Variant_ddPCR all data.xlsx,10/20/2021
12-2021_10_27_Balogh_Project_012_WasteWater_N2N1_ddPCR.xlsx,10/27/2021
2021_11_03_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,11/3/2021
2021_11_10_Balogh_Project_012_WasteWater_N2N1_ddPCR.xlsx,11/10/2021
2021_11_17_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,11/17/2021
2021_11_29_Balogh_Project_012_WasteWater_N2N1_ddPCR.xlsx,11/29/2021
2021_12_01_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,12/1/2021
2021_12_08_Balogh_Project_013_WasteWater_Variant_ddPCR a.xlsx,12/8/2021
2021_12_08_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,12/8/2021
2021_12_15_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,12/15/2021
2021_12_21_Balogh_Project_013_WasteWater_Variant_ddPCR Variant RERUN.xlsx,12/21/2021
2021_12_21_Balogh_Project_013_WasteWater_Variant_ddPCR_Regular_N2N1only.xlsx,12/21/2021
2022_01_03_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,1/3/2022
2022_01_08_Balogh_Project_013_WasteWater_Variant_ddPCR.xlsx,1/8/2022
2022_01_12_Balogh_Project_016_WasteWater_Variant_ddPCR.xlsx,1/12/2022
13-.xlsx,
7-.xlsx,
